split_year,outcome,outcome_value,feature,n,missing_n,missing_rate
2020,y_P1,0,EMT_發生地區__三重區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__中和區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__土城區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__坪林區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__市文山區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__新店區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__新莊區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__板橋區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__樹林區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__永和區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__深坑區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__烏來區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__石碇區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__蘆洲區,5270,0,0.0
2020,y_P1,0,EMT_發生地區__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_發生地區__MISSING,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__Google地標,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__區內概略,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__國道概略,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__無,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__號,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__路名概略(OSM),5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__路段中心,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_距離_定位信心__MISSING,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__否,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__清,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__痛,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__聲,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_現場_意識__MISSING,5270,0,0.0
2020,y_P1,0,EMT_派遣分類__BLS,5270,0,0.0
2020,y_P1,0,EMT_派遣分類__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_派遣分類__MISSING,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-一般受傷,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-其它,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-割腕,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-吞食藥物,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-孕婦待產,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-急病,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-打架受傷,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-精神異常,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-路倒,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__救護-車禍,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__火警-集合住宅,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__緊急救援-其他,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__緊急救援-車禍救助,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_派遣原因__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_創傷導致的主訴群__肢體麻痺,5270,0,0.0
2020,y_P1,0,EMT_問卷_創傷導致的主訴群__背部疼痛,5270,0,0.0
2020,y_P1,0,EMT_問卷_創傷導致的主訴群__胸痛/悶,5270,0,0.0
2020,y_P1,0,EMT_問卷_創傷導致的主訴群__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_創傷導致的主訴群__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__GCS<15,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__檢查無明顯異常,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__肢體運動感覺異常,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__轉向困難,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__頸椎瘀青疼痛,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸椎固定__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__其他,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__正常,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__溼冷,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__潮紅,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__發紺,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__蒼白,5270,0,0.0
