outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,8,0.03245962833725553
P1,y_P1,train_2020_2023,0,EMT_車上_脈搏,continuous_or_ordinal,24646,22954,1692,6.865211393329547,continuous_median_iqr,88.0,78.0,100.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_脈搏,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1692,6.865211393329547
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,648,2.6292298953176987
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1023,4.150774973626552
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,21,0.08520652438529579
P1,y_P1,train_2020_2023,0,EMT_車上_呼吸,continuous_or_ordinal,24646,22959,1687,6.844924125618762,continuous_median_iqr,18.0,18.0,18.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_呼吸,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1687,6.844924125618762
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,649,2.633287348859856
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1023,4.150774973626552
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,15,0.060861803132354134
P1,y_P1,train_2020_2023,0,EMT_車上_SPO2,continuous_or_ordinal,24646,22953,1693,6.869268846871704,continuous_median_iqr,98.0,97.0,99.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_SPO2,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1693,6.869268846871704
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,649,2.633287348859856
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1031,4.183234601963807
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,13,0.05274689604804025
P1,y_P1,train_2020_2023,0,EMT_車上_體溫,continuous_or_ordinal,24646,22942,1704,6.913900835835429,continuous_median_iqr,36.3,36.0,36.8,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_體溫,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1704,6.913900835835429
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,650,2.6373448024020125
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1034,4.195406962590279
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,20,0.08114907084313884
P1,y_P1,train_2020_2023,0,EMT_車上_GCS,continuous_or_ordinal,24646,23441,1205,4.889231518299115,continuous_median_iqr,15.0,15.0,15.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1205,4.889231518299115
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,171,0.6938245557088372
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1034,4.195406962590279
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_車上_GCS_E,continuous_or_ordinal,24646,23443,1203,4.881116611214802,continuous_median_iqr,4.0,4.0,4.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_E,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1203,4.881116611214802
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,171,0.6938245557088372
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1032,4.1872920555059645
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_車上_GCS_V,continuous_or_ordinal,24646,23441,1205,4.889231518299115,continuous_median_iqr,5.0,5.0,5.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_V,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1205,4.889231518299115
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,171,0.6938245557088372
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1034,4.195406962590279
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_車上_GCS_M,continuous_or_ordinal,24646,23442,1204,4.885174064756958,continuous_median_iqr,6.0,6.0,6.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_M,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1204,4.885174064756958
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,171,0.6938245557088372
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1033,4.191349509048122
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_生命徵象量測次數,continuous_or_ordinal,24646,23999,647,2.6251724417755415,continuous_median_iqr,3.0,3.0,3.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_生命徵象量測次數,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,647,2.6251724417755415
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,647,2.6251724417755415
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_問卷_疼痛指數,continuous_or_ordinal,24646,16554,8092,32.83291406313398,continuous_median_iqr,2.0,1.0,3.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_問卷_疼痛指數,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,8092,32.83291406313398
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,6872,27.882820741702506
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1220,4.95009332143147
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_問卷_左瞳孔尺寸mm,continuous_or_ordinal,24646,22982,1664,6.751602694149152,continuous_median_iqr,3.0,3.0,3.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_問卷_左瞳孔尺寸mm,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1664,6.751602694149152
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1664,6.751602694149152
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_問卷_右瞳孔尺寸mm,continuous_or_ordinal,24646,22979,1667,6.763775054775623,continuous_median_iqr,3.0,3.0,3.0,,
