task_id,no_text_task_id,group,outcome,model,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,mixed_outcome_patient_groups,bootstrap_replicates,bootstrap_success,bootstrap_seed,bootstrap_method,group_stratum_rule,expected_group_multiplicity,legacy_overlapping_strata_ci,scope,source_id,source_candidate_sha256,source_acceptance_manifest_sha256,source_with_text_model_sha256
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.002520303081602393,-0.0072016885636139606,0.013116462965553535,ESTIMATED,15995,703,12203,151,2000,2000,661286,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,validation_2024,AUPRC,0.35667477394943686,0.30642014263715933,0.42161963612299197,ESTIMATED,4770,253,4071,36,2000,2000,3826539658,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,validation_2024,AUPRC_no_text,0.35679571264402987,0.3034745718210047,0.4219776846969128,ESTIMATED,4770,253,4071,36,2000,2000,3826539658,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,validation_2024,Delta_AUPRC_text_minus_no_text,-0.0001209386945930091,-0.011103504321357167,0.013017788149302493,ESTIMATED,4770,253,4071,36,2000,2000,3826539658,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,oof_2020_2023,AUPRC,0.2412847666900219,0.206788862992266,0.28111860834634206,ESTIMATED,15995,427,12203,108,2000,2000,4261937418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,oof_2020_2023,AUPRC_no_text,0.24046005022946032,0.2056935435144721,0.28136761308159736,ESTIMATED,15995,427,12203,108,2000,2000,4261937418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.000824716460561592,-0.008714854120953191,0.010751728651971508,ESTIMATED,15995,427,12203,108,2000,2000,4261937418,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,validation_2024,AUPRC,0.42958417382677494,0.35706202911523943,0.506895395262691,ESTIMATED,4770,174,4071,26,2000,2000,1788538853,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,validation_2024,AUPRC_no_text,0.4238544466043434,0.35129409591250943,0.5013234178073228,ESTIMATED,4770,174,4071,26,2000,2000,1788538853,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
P1_06-S1-ft_transformer,medicine_S1_ft_transformer_no_text,medicine,S1,ft_transformer,validation_2024,Delta_AUPRC_text_minus_no_text,0.005729727222431535,-0.001198720505671727,0.012767902554567489,ESTIMATED,4770,174,4071,26,2000,2000,1788538853,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_S1_ft_transformer_no_text,22fab6544fe67881d07a64fe362c0bab5078827875d0767b1f34c5ab5faddf67,,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad
