task_id,outcome,model,model_family,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,bootstrap_method,validation_cohort_n,coverage_rate,source_id
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,calibration_intercept,3.0921761813419066,2.050618431833305,4.3127448231792345,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,calibration_slope,1.3476729992729035,1.1378728077024303,1.6035834637259656,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,AUROC,0.7922541217139052,0.7433557762204869,0.8397740742693186,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,AUPRC,0.12853601103356557,0.09511539873168263,0.16823261697418845,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,Brier,0.10238823257868916,0.09648029107192871,0.10826180111418385,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,calibration_in_large,-4.391502550311144,-4.469363241969291,-4.302278091070454,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,calibration_intercept,-2.9140126919087015,-3.028789931129265,-2.8238018726215897,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__raw,common_ml,validation_2024,calibration_slope,0.1290952884531354,0.10849162473982475,0.15242352873000406,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,AUROC,0.9471142001240714,0.9283274965331071,0.9641061123553751,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,AUPRC,0.4009581432890469,0.3206304401000877,0.4999120207609882,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
