task_id,outcome,model_a,split,model_b,comparison_variant,n_common,events_common,patient_groups_common,auroc_a,auroc_b,auroc_difference,auroc_delong_p,auprc_a,auprc_b,auprc_difference,auprc_difference_lower_ci,auprc_difference_upper_ci,auprc_paired_bootstrap_p,bootstrap_b,bootstrap_success,bootstrap_method,source_id
P1_03-evaluation-S1,S1,score_rSI_sMS,validation_2024,catboost,raw_validation_2024,7289,135,6434,0.7996365669555494,0.9135039708425228,-0.11386740388697336,1.6711305815594624e-09,0.10085625516790192,0.22692846260682725,-0.12607220743892533,-0.1862811246298098,-0.07770158374916972,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,score_rSI_sMS,validation_2024,xgboost,raw_validation_2024,7289,135,6434,0.7996365669555494,0.9162395551828038,-0.11660298822725434,5.38248480875323e-10,0.10085625516790192,0.23418836717314698,-0.13333211200524506,-0.19787966278572683,-0.08381019716308805,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,score_rSI_sMS,validation_2024,lightgbm,raw_validation_2024,7289,135,6434,0.7996365669555494,0.9189068016856666,-0.11927023473011722,9.542970152628754e-11,0.10085625516790192,0.23854510717727542,-0.1376888520093735,-0.19909749296459103,-0.09157298891239925,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,logistic_l2,validation_2024,catboost,raw_validation_2024,7504,191,6600,0.8503267866232622,0.9350278461292842,-0.08470105950602203,1.7759744965741712e-08,0.30975503520869274,0.4389840626531891,-0.12922902744449638,-0.18685735006518506,-0.07551657150077692,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,logistic_l2,validation_2024,xgboost,raw_validation_2024,7504,191,6600,0.8503267866232622,0.9362091319839947,-0.08588234536073247,3.699904095725164e-08,0.30975503520869274,0.45419952924520735,-0.1444444940365146,-0.20470278578625328,-0.0854388610638866,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,logistic_l2,validation_2024,lightgbm,raw_validation_2024,7504,191,6600,0.8503267866232622,0.9371233756424585,-0.08679658901919629,4.270590936072114e-08,0.30975503520869274,0.4515612262612018,-0.14180619105250908,-0.20377199221371017,-0.08477829601673,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,catboost,validation_2024,xgboost,raw_validation_2024,7504,191,6600,0.9350278461292842,0.9362091319839947,-0.0011812858547104454,0.7041327170867158,0.4389840626531891,0.45419952924520735,-0.015215466592018223,-0.04315426357616093,0.01656684133991158,0.36,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,catboost,validation_2024,lightgbm,raw_validation_2024,7504,191,6600,0.9350278461292842,0.9371233756424585,-0.0020955295131742657,0.5430603833866259,0.4389840626531891,0.4515612262612018,-0.012577163608012698,-0.048000691184947535,0.02152321194982124,0.476,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S1,S1,xgboost,validation_2024,lightgbm,raw_validation_2024,7504,191,6600,0.9362091319839947,0.9371233756424585,-0.0009142436584638203,0.6822903668914699,0.45419952924520735,0.4515612262612018,0.002638302984005525,-0.029315967702190884,0.029822580266160532,0.968,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
P1_03-evaluation-S2,S2,score_rSI_sMS,validation_2024,logistic_l2,raw_validation_2024,7289,226,6434,0.783317713273334,0.8509652069428243,-0.0676474936694903,0.001539396441314252,0.14869697016812428,0.25456229112592743,-0.10586532095780316,-0.15772085891994245,-0.05732814270905672,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,score_rSI_sMS,validation_2024,catboost,raw_validation_2024,7289,226,6434,0.783317713273334,0.9086195166384963,-0.12530180336516228,1.417463325750629e-17,0.14869697016812428,0.3072094968906773,-0.158512526722553,-0.20685431660097037,-0.11177251028293844,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,score_rSI_sMS,validation_2024,xgboost,raw_validation_2024,7289,226,6434,0.783317713273334,0.9116422488375793,-0.12832453556424528,6.74667820596319e-17,0.14869697016812428,0.309286667956654,-0.16058969778852972,-0.21378178299413392,-0.11198985042781641,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,score_rSI_sMS,validation_2024,lightgbm,raw_validation_2024,7289,226,6434,0.783317713273334,0.9134577675760132,-0.13014005430267916,2.1270256517521134e-17,0.14869697016812428,0.2971249935982978,-0.14842802343017353,-0.19553351608016514,-0.10626137763585904,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,logistic_l2,validation_2024,catboost,raw_validation_2024,7504,291,6600,0.8645620283727882,0.9256058767507883,-0.06104384837800014,2.40912276336037e-07,0.38490284993737883,0.4754393576639792,-0.09053650772660038,-0.13536889805031613,-0.04443092132875306,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,logistic_l2,validation_2024,xgboost,raw_validation_2024,7504,291,6600,0.8645620283727882,0.9253667133083021,-0.06080468493551394,3.8817218652467074e-07,0.38490284993737883,0.47729760463501936,-0.09239475469764052,-0.1360798581161966,-0.04623882819505084,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
P1_03-evaluation-S2,S2,logistic_l2,validation_2024,lightgbm,raw_validation_2024,7504,291,6600,0.8645620283727882,0.9282057072401254,-0.06364367886733724,5.2628470187596904e-08,0.38490284993737883,0.47356670464957956,-0.08866385471220073,-0.13192716296912183,-0.03950499483593099,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0032
