outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.7706062939794428,0.06139177484591149,0.04209946146678245,0.0820526162269303,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.9055383014518096,0.24558609134909257,0.18669343778421088,0.31139024406727045,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.0,1.8125122449739416e-61,2.115134811431965e-76,5.660891643296787e-61,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.0003074085459575776,8.111543257225144e-05,3.840916650284002e-07,0.0002430063923306578,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.0006395906619763352,0.00026359799867509457,1.0485440604693855e-05,0.0007458446012455222,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.0007423904974016332,0.00032783632246100497,1.9845539027130104e-05,0.000899414415087306,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.0010803024846957148,0.0005977078855617338,9.52749742045172e-05,0.0014200282725640037,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.004402054292002936,0.006820591298264977,0.003953820783516839,0.010053363253896561,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.005338078291814947,0.008015571763372508,0.0050080967421972334,0.01145673880315937,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.008465608465608466,0.011452853334697238,0.00786272250348731,0.015345611723670494,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.014925373134328358,0.017923027460401482,0.013142187624391552,0.022870661991589068,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.020134228187919462,0.022412130439699886,0.016434176749634998,0.028433874145989198,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.032640949554896145,0.031486183466570665,0.02311025585696476,0.04042369869092505,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
P1,catboost__isotonic,gbdt,flexible_kernel,0.25,0.3384070195781522,0.27028875184341505,0.40843937205342823,2000,2000,0,1900,ESTIMATED,0.7100030465202603,7504.0,107.0,7504,1.0,s0010
