group,analysis_split,feature,n,missing_n,missing_rate
medicine,train_2020_2023,EMT_發生地區__新莊區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__板橋區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__樹林區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__永和區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__深坑區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__烏來區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__石碇區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__蘆洲區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__Google地標,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__區內概略,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__國道概略,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__無,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__號,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__路名概略(OSM),15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__路段中心,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_距離_定位信心__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__否,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__清,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__痛,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__聲,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_現場_意識__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_派遣分類__BLS,15995,0,0.0
medicine,train_2020_2023,EMT_派遣分類__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_派遣分類__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-一般受傷,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-其它,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-割腕,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-吞食藥物,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-孕婦待產,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-急病,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-打架受傷,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-精神異常,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-路倒,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__救護-車禍,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__火警-集合住宅,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__緊急救援-其他,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__緊急救援-車禍救助,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_派遣原因__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_創傷導致的主訴群__肢體麻痺,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_創傷導致的主訴群__背部疼痛,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_創傷導致的主訴群__胸痛/悶,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_創傷導致的主訴群__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_創傷導致的主訴群__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__GCS<15,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__檢查無明顯異常,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__肢體運動感覺異常,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__轉向困難,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__頸椎瘀青疼痛,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸椎固定__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__其他,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__正常,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__溼冷,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__潮紅,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__發紺,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__蒼白,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__蒼白、溼冷,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__黃疸,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_膚色__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__+,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__-,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__無法測量,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__眼疾,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔光反射__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__+,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__-,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__無法測量,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__眼疾,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔光反射__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_氣管位置__其他,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_氣管位置__正常,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_氣管位置__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_氣管位置__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_頸靜脈怒張__其他,15995,0,0.0
