entity_id,group,outcome,model,model_sha256,bound_document_count,recorded_field_count,seed,final_fit_rows,context_rows,context_row_policy,runtime_packages,stack_member_order
v3|P1|medicine|tabpfn,medicine,P1,tabpfn,44e9c25dfdcd73ed79be68829fd143f2c8a08001952da8af0b305eda59b3f53e,5,9,20260716.0,,,full_or_model_limit,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v3|P1|medicine|xgboost,medicine,P1,xgboost,73334bca3ca5ee8bb9c63c8cec1d8b9ffce6bc27ce8be3668e046dcc6e59cee3,1,0,,,,,,
v3|P2|medicine|bert_finetuned,medicine,P2,bert_finetuned,2c92eb2b6bdc420fd91b3efccc7006e7af0e73428c245c50895b1a9185e738e5,1,0,,,,,,
v3|P2|medicine|catboost,medicine,P2,catboost,38f1805c6aac3f5f15ece608ed49e23d3c89bbb3688dfb943bf8208de7e0ec8a,1,0,,,,,,
v3|P2|medicine|cnn_1d,medicine,P2,cnn_1d,36a201c5afca2df1f54933157074997fc1b17b5a686832734f5176d231de10af,1,0,,,,,,
v3|P2|medicine|ft_transformer,medicine,P2,ft_transformer,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d,2,0,,,,,,
v3|P2|medicine|lightgbm,medicine,P2,lightgbm,2c0cade4ce1a909ca61989b64d64f6b1438cfc9770690901853a580f4b0648e5,1,0,,,,,,
v3|P2|medicine|logistic_regression,medicine,P2,logistic_regression,029c6eca60fc75f9af4000947cdddc36e0b0ec0ee332e6aa4af603038599031d,1,0,,,,,,
v3|P2|medicine|mlp_plr,medicine,P2,mlp_plr,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a,2,0,,,,,,
v3|P2|medicine|rSI_sMS,medicine,P2,rSI_sMS,0bbf7488528bb80e8f94c14141cb35129c9af89a1826688e340b10bafaf8b26e,1,0,,,,,,
v3|P2|medicine|stacking,medicine,P2,stacking,fdc52a0698e06173d5f80824d951ff815ab4b12889c7047f69ad20b7059cf7d4,1,3,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_standard"",""tabicl"",""tabpfn_thinking""]"
v3|P2|medicine|tabicl,medicine,P2,tabicl,f9a86772892d0507b201745f21f31a0117d8039b709bddf4595febfa00f19c1e,1,5,,,,half_model_limit,,
v3|P2|medicine|tabpfn,medicine,P2,tabpfn,713b45f80a873c7438f4f6615228ef37ae5695e20761f986f90db77159b41794,5,9,20260716.0,,,full_or_model_limit,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v3|P2|medicine|xgboost,medicine,P2,xgboost,5d65287e0f4909d2e16db572772939d7f4bf95ed0a6ce4a231c1eb672775af22,1,0,,,,,,
v3|P3|medicine|bert_finetuned,medicine,P3,bert_finetuned,b2dfbee65f3f609a8a1c0c3ff5179fdac7b90ee9be4302de3d16c0efcc85a438,1,0,,,,,,
v3|P3|medicine|catboost,medicine,P3,catboost,2e271dee6a4bf214c0da421ec5b388c51852e3b019a359f323fd65e05d93c02f,1,0,,,,,,
v3|P3|medicine|cnn_1d,medicine,P3,cnn_1d,96486b4d389bc2a5747f590899733458159d4b123ce7d7f8df57c5a9407c8fee,1,0,,,,,,
v3|P3|medicine|ft_transformer,medicine,P3,ft_transformer,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef,2,0,,,,,,
v3|P3|medicine|lightgbm,medicine,P3,lightgbm,2cc28b814f40889ac51e3b768fd9609f0d05353b22c95efc45981aba844afa52,1,0,,,,,,
v3|P3|medicine|logistic_regression,medicine,P3,logistic_regression,fd518893ae944d46c797968ede602c583b2df0d19685d50f23a40546dd4e6993,1,0,,,,,,
v3|P3|medicine|mlp_plr,medicine,P3,mlp_plr,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5,2,0,,,,,,
v3|P3|medicine|rSI_sMS,medicine,P3,rSI_sMS,f69a3accbf3c6b0fba97b5344de018e498d55a2927737afe4525250faab6d708,1,0,,,,,,
v3|P3|medicine|stacking,medicine,P3,stacking,0bdd468eee749f2cadf30046fa422b97b59c159a88abec055279bf61c1545ccd,1,3,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_standard"",""tabicl"",""tabpfn_thinking""]"
v3|P3|medicine|tabicl,medicine,P3,tabicl,ade710e3ef6caeccbefbf719bc30dea43286a575582a6f27a15e89b9973da00b,1,5,,,,half_model_limit,,
v3|P3|medicine|tabpfn,medicine,P3,tabpfn,7ff193d7ea4b20749200154df386e3fb10ae08e3d7cd0ff95c3918ee7642b725,5,9,20260716.0,,,full_or_model_limit,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v3|P3|medicine|xgboost,medicine,P3,xgboost,86445b645856fed4e3b0bd0588444879e2d8f9a63cf5a42044f290d5f1d466c2,1,0,,,,,,
v3|S1|medicine|bert_finetuned,medicine,S1,bert_finetuned,f53e71d62e0b86d5aef8ca6a64206e9b0b15872df530747a7162a22e340da2e8,1,0,,,,,,
v3|S1|medicine|catboost,medicine,S1,catboost,0d91ebbf220e6d76aa0d8d50753b7be9545142c9d736382b77b2f9536ebbc091,1,0,,,,,,
v3|S1|medicine|cnn_1d,medicine,S1,cnn_1d,644552cf68b58d781b7b872b77a772db2c6b5670baca1e0784388af660082990,1,0,,,,,,
v3|S1|medicine|ft_transformer,medicine,S1,ft_transformer,911a41d898b4f51bcd1c3fbb69d55fd731ff91b978c5309127aa7a32a78f98ad,2,0,,,,,,
v3|S1|medicine|lightgbm,medicine,S1,lightgbm,6e07523df598187c018ab998289fb1e756fa3663fd4a8b7de54b8970081656f5,1,0,,,,,,
v3|S1|medicine|logistic_regression,medicine,S1,logistic_regression,16e2a2e838e651d517ff8fb53e03063bae80265c7c346a65f29c45bccf44dd44,1,0,,,,,,
v3|S1|medicine|mlp_plr,medicine,S1,mlp_plr,76acabd26fa4e7f4d38d2a636b004e89f6df9f9f151b7e81b036c44461f713a3,2,0,,,,,,
v3|S1|medicine|rSI_sMS,medicine,S1,rSI_sMS,8138bd00b8da7c2600f57ef7c2c66507c8fca91299399d78b5d4ecb7b02797f6,1,0,,,,,,
v3|S1|medicine|stacking,medicine,S1,stacking,477cb66d06492b728e1cea10d8bf943ac25519d24129b03dd413d176d4b3a877,1,3,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_finetuned"",""tabicl"",""tabpfn_thinking""]"
v3|S1|medicine|tabicl,medicine,S1,tabicl,780da9f5733e6cd554277db52f5e573cd8ad73cc5a007ade2ce93924cee66d8b,1,0,,,,,,
