id,group,outcome,model,role,trained_population,target_n,missing_target_rows,coverage,n,events,AUROC,AUPRC,Brier,prevalence
surgery_P2_balanced_random_forest,surgery,P2,balanced_random_forest,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.9349471742564673,0.3372485228260848,0.04489898848978136,0.015117994100294985
overall_P2_svm_rbf,overall,P2,svm_rbf,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8593898021498099,0.3003251536138528,0.05806096526867945,0.0721635340924681
medicine_P2_svm_rbf,medicine,P2,svm_rbf,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8045150364346958,0.324875718131774,0.09337026415859595,0.1190775681341719
surgery_P2_svm_rbf,surgery,P2,svm_rbf,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.8942937239181452,0.08829400781194036,0.015127057048820723,0.015117994100294985
overall_P2_logistic_l1,overall,P2,logistic_l1,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8743970913081635,0.41597242900869646,0.13276678379964796,0.0721635340924681
medicine_P2_logistic_l1,medicine,P2,logistic_l1,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8520565324359292,0.520096489416345,0.18729895880791028,0.1190775681341719
surgery_P2_logistic_l1,surgery,P2,logistic_l1,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.8441069846864697,0.38100747962070325,0.04140149110057153,0.015117994100294985
overall_P2_logistic_l2,overall,P2,logistic_l2,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8675273476965081,0.4130543238235219,0.13389439977588233,0.0721635340924681
medicine_P2_logistic_l2,medicine,P2,logistic_l2,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8466403489954483,0.5196480385969557,0.1887045562564653,0.1190775681341719
surgery_P2_logistic_l2,surgery,P2,logistic_l2,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.8308754371706951,0.3789281279773544,0.04187328372437213,0.015117994100294985
overall_P2_score_NEWS2,overall,P2,score_NEWS2,overall_trained_single_score_logistic_probability,overall,7289,6256,score_component_available_subset_of_current_cohort,1033,279,0.6401628590171414,0.38279627948638517,0.23518240743539265,0.2700871248789932
medicine_P2_score_NEWS2,medicine,P2,score_NEWS2,overall_trained_single_score_logistic_probability,overall,4770,3784,score_component_available_subset_of_current_cohort,986,275,0.6355171972893492,0.38783127070625545,0.2366567323224467,0.2789046653144016
surgery_P2_score_NEWS2,surgery,P2,score_NEWS2,overall_trained_single_score_logistic_probability,overall,2712,2634,score_component_available_subset_of_current_cohort,78,11,0.6438263229308004,0.27903048154866295,0.2195369312341172,0.14102564102564102
overall_P2_score_rSIG,overall,P2,score_rSIG,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,524,0.7469484851428558,0.28662815559581134,0.21110415443121025,0.07195825322713541
medicine_P2_score_rSIG,medicine,P2,score_rSIG,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,493,0.7303118878816797,0.3162236924968462,0.2268821335834165,0.10783027121609799
surgery_P2_score_rSIG,surgery,P2,score_rSIG,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,31,0.6545946799082156,0.16573261664874364,0.18410542467767588,0.011532738095238096
overall_P2_score_rSIG_Age,overall,P2,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,7289,13,score_component_available_subset_of_current_cohort,7276,524,0.8297219257624543,0.331340448814476,0.18881370053341562,0.0720175920835624
medicine_P2_score_rSIG_Age,medicine,P2,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,4770,201,score_component_available_subset_of_current_cohort,4569,493,0.7935572997430165,0.35360249548385864,0.22609506400544102,0.10790107244473626
surgery_P2_score_rSIG_Age,surgery,P2,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,31,0.83222524734424,0.1928554239595916,0.1268018942959106,0.01154562383612663
overall_P2_score_SIA_G,overall,P2,score_SIA_G,overall_trained_single_score_logistic_probability,overall,7289,13,score_component_available_subset_of_current_cohort,7276,524,0.8297215017998625,0.3313374641350112,0.16926616619790907,0.0720175920835624
medicine_P2_score_SIA_G,medicine,P2,score_SIA_G,overall_trained_single_score_logistic_probability,overall,4770,201,score_component_available_subset_of_current_cohort,4569,493,0.7935570509209403,0.35359991064722135,0.19896534194764418,0.10790107244473626
surgery_P2_score_SIA_G,surgery,P2,score_SIA_G,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,31,0.83222524734424,0.1928554239595916,0.11961322370090417,0.01154562383612663
overall_P2_score_SI_G,overall,P2,score_SI_G,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,524,0.7469508854645555,0.28664734744604686,0.19427574434648984,0.07195825322713541
medicine_P2_score_SI_G,medicine,P2,score_SI_G,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,493,0.7303148715505681,0.3162437504409989,0.20989887738394297,0.10783027121609799
surgery_P2_score_SI_G,surgery,P2,score_SI_G,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,31,0.6546068206927531,0.16573665722564299,0.16777763773868518,0.011532738095238096
overall_P2_score_SI,overall,P2,score_SI,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.6388265607597592,0.1503372641216084,0.2401306208830763,0.0721635340924681
medicine_P2_score_SI,medicine,P2,score_SI,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,503,0.6384877733357315,0.20008410216070782,0.24637992713435236,0.10873324686554259
surgery_P2_score_SI,surgery,P2,score_SI,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,31,0.3980921867035607,0.04330881875534659,0.2295579318120415,0.011528449237634809
