id,group,outcome,model,alias_of,trained_population,evaluation_population,split,coverage,target_n,row_set_sha256,metric,value,lower_ci,upper_ci,status,reason,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_minimum_success_required,bootstrap_method,seed,derived_seed,model_point_value
overall_P1_score_rSI,overall,P1,score_rSI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.23914781809973742,0.23632598063279697,0.24192119503127119,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1455502176,0.23914781809973742
overall_P1_score_rSI_sMS,overall,P1,score_rSI_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.8738184165629179,0.8241529047940965,0.9158965316377439,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.8738184165629179
overall_P1_score_rSI_sMS,overall,P1,score_rSI_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.06236502513085726,0.045989737976299176,0.09534436903648102,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.06236502513085726
overall_P1_score_rSI_sMS,overall,P1,score_rSI_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.18526667382185139,0.18071844956235433,0.1899903476031423,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.18526667382185139
overall_P1_score_rSI_GCSM,overall,P1,score_rSI_GCSM,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.8726229999538895,0.8260028728488281,0.9138446512159741,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2087573689,0.8726229999538895
overall_P1_score_rSI_GCSM,overall,P1,score_rSI_GCSM,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.07108219705021332,0.051267351329457214,0.11286818985583309,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2087573689,0.07108219705021332
overall_P1_score_rSI_GCSM,overall,P1,score_rSI_GCSM,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.18500797438998368,0.18078582163926873,0.18929373312837103,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2087573689,0.18500797438998368
overall_P1_score_SIAVPU,overall,P1,score_SIAVPU,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.5173156729838152,0.4188871072167825,0.620433568931355,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3955732816,0.5173156729838152
overall_P1_score_SIAVPU,overall,P1,score_SIAVPU,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.024500581036732458,0.012752345391980328,0.054568668040924515,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3955732816,0.024500581036732458
overall_P1_score_SIAVPU,overall,P1,score_SIAVPU,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.2451969990232483,0.24455367229275501,0.24586243144850983,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3955732816,0.2451969990232483
